52,"7.c","HeI","tör","7.c-0/4",1,5
52,"7.c","FaK","tör","7.c-0/4",1,5
53,"7.c","JKM","ném1K","7.c-0/4",4,5
53,"7.c","JKM","ném1K","7.c-0/4",1,2
53,"7.c","JKM","ném1K","1/4",3,2
53,"7.c","JKM","ném1K","7.c-0/4",1,3
54,"7.c","RiJ","ném1K","1/1",4,5
54,"7.c","RiJ","ném1K","1/1",1,2
54,"7.c","RiJ","ném1K","7.c-0/4",3,2
54,"7.c","RiJ","ném1K","1/1",1,3
55,"7.c","RGy","dk","2/4 inf",0,5
56,"7.c","PiK","dk","0/1 inf",0,6
57,"7.c","PiK","fizK","9.c-1/6",2,3
58,"7.c","PiK","fizK","9.c-1/6",2,4
59,"7.c","MoP","matK","7.c-0/4",3,1
59,"7.c","MoP","matK","7.c-0/4",1,1
59,"7.c","MoP","matK","7.c-0/4",4,1
59,"7.c","MoP","matK","7.c-0/4",0,3
60,"7.c","LiA","népt","népt",2,1
61,"7.c","LiA","népt","népt",2,2
62,"7.c","KuJ","tes","tesi3",0,1
62,"7.c","KuJ","tes","tesi2",2,6
62,"7.c","KuJ","tes","tesi2",1,4
62,"7.c","KuJ","tes","tesi3",4,6
63,"7.c","TóK","tes","tesi2",0,1
63,"7.c","TóK","tes","tesi3",2,6
63,"7.c","TóK","tes","népt",1,4
63,"7.c","TóK","tes","tesi2",4,6
64,"7.c","KKÉ","föl","7.c-0/4",2,5
64,"7.c","KKÉ","föl","7.c-0/4",4,4
65,"7.c","BaÁ","én","7.c-0/4",3,3
65,"7.c","BaÁ","én","0/5",0,2
66,"7.c","OrA","rajz","7.c-0/4",0,4
67,"7.c","JKM","of","7.c-0/4",3,4
67,"7.c","RiJ","of","7.c-0/4",3,4
68,"7.b","BáÁ","of","7.b-0/3",2,6
68,"7.b","FáL","of","7.b-0/3",2,6
69,"7.a","CsK","of","7.a-0/2",4,6
69,"7.a","MáM","of","7.a-0/2",4,6
70,"8.a","KoP","an1K","8.a-2/2",2,3
70,"8.b","KoP","an1K","8.a-2/2",2,3
70,"8.c","KoP","an1K","8.a-2/2",2,3
70,"8.a","KoP","an1K","8.b-2/3",0,1
70,"8.b","KoP","an1K","8.b-2/3",0,1
70,"8.c","KoP","an1K","8.b-2/3",0,1
70,"8.a","KoP","an1K","8.b-2/3",3,3
70,"8.b","KoP","an1K","8.b-2/3",3,3
70,"8.c","KoP","an1K","8.b-2/3",3,3
70,"8.a","KoP","an1K","1/4",1,3
70,"8.b","KoP","an1K","1/4",1,3
70,"8.c","KoP","an1K","1/4",1,3
71,"8.a","MáM","ném1K","8.b-2/3",2,3
71,"8.c","MáM","ném1K","8.b-2/3",2,3
71,"8.a","MáM","ném1K","8.c-1/2",0,1
71,"8.c","MáM","ném1K","8.c-1/2",0,1
71,"8.a","MáM","ném1K","1/1",3,3
71,"8.c","MáM","ném1K","1/1",3,3
71,"8.a","MáM","ném1K","8.c-1/2",1,3
71,"8.c","MáM","ném1K","8.c-1/2",1,3
72,"8.a","NiN","an1K","9.b-1/5",2,3
72,"8.b","NiN","an1K","9.b-1/5",2,3
72,"8.c","NiN","an1K","9.b-1/5",2,3
72,"8.a","NiN","an1K","7.a-0/2",0,1
72,"8.b","NiN","an1K","7.a-0/2",0,1
72,"8.c","NiN","an1K","7.a-0/2",0,1
72,"8.a","NiN","an1K","8.c-1/2",3,3
72,"8.b","NiN","an1K","8.c-1/2",3,3
72,"8.c","NiN","an1K","8.c-1/2",3,3
72,"8.a","NiN","an1K","7.b-0/3",1,3
72,"8.b","NiN","an1K","7.b-0/3",1,3
72,"8.c","NiN","an1K","7.b-0/3",1,3
73,"8.a","RFL","an1K","8.c-1/2",2,3
73,"8.b","RFL","an1K","8.c-1/2",2,3
73,"8.c","RFL","an1K","8.c-1/2",2,3
73,"8.a","RFL","an1K","7.c-0/4",0,1
73,"8.b","RFL","an1K","7.c-0/4",0,1
73,"8.c","RFL","an1K","7.c-0/4",0,1
73,"8.a","RFL","an1K","1/4",3,3
73,"8.b","RFL","an1K","1/4",3,3
73,"8.c","RFL","an1K","1/4",3,3
73,"8.a","RFL","an1K","0/1 inf",1,3
73,"8.b","RFL","an1K","0/1 inf",1,3
73,"8.c","RFL","an1K","0/1 inf",1,3
74,"8.a","SzkN","an1K","8.a-2/2",0,1
74,"8.b","SzkN","an1K","8.a-2/2",0,1
74,"8.c","SzkN","an1K","8.a-2/2",0,1
74,"8.a","SzkN","an1K","1/7",2,3
74,"8.b","SzkN","an1K","1/7",2,3
74,"8.c","SzkN","an1K","1/7",2,3
74,"8.a","SzkN","an1K","1/7",3,3
74,"8.b","SzkN","an1K","1/7",3,3
74,"8.c","SzkN","an1K","1/7",3,3
74,"8.a","SzkN","an1K","2/1",1,3
74,"8.b","SzkN","an1K","2/1",1,3
74,"8.c","SzkN","an1K","2/1",1,3
75,"8.a","ViV","an1K","9.a-1/3",2,3
75,"8.b","ViV","an1K","9.a-1/3",2,3
75,"8.c","ViV","an1K","9.a-1/3",2,3
75,"8.a","ViV","an1K","1/1",0,1
75,"8.b","ViV","an1K","1/1",0,1
75,"8.c","ViV","an1K","1/1",0,1
75,"8.a","ViV","an1K","2/1",3,3
75,"8.b","ViV","an1K","2/1",3,3
75,"8.c","ViV","an1K","2/1",3,3
75,"8.a","ViV","an1K","8.b-2/3",1,3
75,"8.b","ViV","an1K","8.b-2/3",1,3
75,"8.c","ViV","an1K","8.b-2/3",1,3
76,"8.a","BHZs","föl","8.a-2/2",2,2
77,"8.a","CsV","drsz","8.a-2/2",0,7
78,"8.a","BoG","méd","8.b-2/3",0,7
79,"8.a","CzL","tes","tesi3",2,7
79,"8.a","CzL","tes","tesi2",0,2
79,"8.a","CzL","tes","tesi2",3,1
79,"8.a","CzL","tes","tesi2",3,2
80,"8.a","ZsB","tes","tesi3",0,2
80,"8.a","ZsB","tes","tesi2",2,7
80,"8.a","ZsB","tes","tesi3",3,1
80,"8.a","ZsB","tes","tesi3",3,2
81,"8.a","CsZ","ái","8.a-2/2",2,1
